number|certdate|org_name|org_address|lab_name|lab_address|phone|cellphone|email|www|research_fields|research_objects
AB 981|2008-12-09|ENERGA Kogeneracja Sp. z o.o.|ul. Elektryczna 20 A; 82-300 Elbląg|Laboratorium|ul. Elektryczna 20 A; 82-300 Elbląg|55 612-20-25||jozef.scigala@energa.pl|www.energa-kogeneracja.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne
AB 982|2008-12-12|KWANT Pracownia Pomiarów Promieniowania Jerzy Michnikowski|ul. Romana Maya 1; 61-371 Poznań|KWANT Pracownia Pomiarów Promieniowania Jerzy Michnikowski|ul. Romana Maya 1; 61-371 Poznań|61 624-74-69||biuro@kwant.co|www.kwant.co|Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 984|2008-12-09|Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o.|ul. Miłosławska 8; 62-300 Września|Laboratorium Analiz Wody i Ścieków|ul. Sikorskiego 42; 62-300 Września|61 436-05-47||laboratorium@pwikwrzesnia.pl|www.pwikwrzesnia.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 985|2008-12-23|Zakład Produkcyjno-Handlowo-Usługowy ABB-BIS Marcin Adamkiewicz|ul. Ignacego Łukasiewicza 24 lok. 3; 09-400 Płock|Laboratorium|ul. Ignacego Łukasiewicza 24 lok. 3; 09-400 Płock|24 364-86-85| 605-072-560|abbbis@poczta.onet.pl|www.abbbis.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 986|2008-12-18|HSW-Wodociągi Sp. z o.o.|ul. Kwiatkowskiego 1; 37-450 Stalowa Wola|Laboratorium Ochrony Środowiska|ul. Działkowa 2; 37-450 Stalowa Wola|15 642-59-25||laboratorium@hsw-wodociagi.pl|ww.hsw-wodociagi.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 987|2008-12-22|Firma Błajet 10|ul. Sierakowska 23; 64-510 Wronki|Laboratorium Badań Środowiska i Higieny Pracy|ul. Sierakowska 23; 64-510 Wronki|67 254-01-16| 608-226-020|beata.blajet@gmail.com||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 988|2008-12-29|"Zakład Ochrony Środowiska ""BIALEKO"" Jarosław Kazberuk, Urszula Wołejko, Aneta Łyczakowska, Mirosława Kozłowska"|ul. Hetmańska 44; 15-727 Białystok|"Zakład Ochrony Środowiska ""BIALEKO"" Jarosław Kazberuk, Urszula Wołejko, Aneta Łyczakowska, Mirosława Kozłowska"|ul. Hetmańska 44; 15-727 Białystok|85 652-63-66||bialeko@wp.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 989|2008-12-31|Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Koszalinie|ul. Partyzantów 7/9; 75-411 Koszalin|Laboratorium Wojewódzkie|ul. Przemysłowa 4; 75-216 Koszalin|94 343-26-39||lw-koszalin@piorin.gov.pl|www.piorin.gov.pl|Badania biologicznie i biochemiczne (B) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Drewno
AB 990|2008-12-29|Wodociągi Miejskie w Radomiu Sp. z o.o.|ul. Filtrowa 4; 26-600 Radom|Laboratorium Badawcze|ul. Filtrowa 4; 26-600 Radom|48 383-16-10||lab.ocz@interia.pl|www.wodociagi.radom.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 991|2009-01-19|Spółdzielnia Mleczarska w Gostyniu|ul. Wielkopolska 1; 63-800 Gostyń|Laboratorium Badania Surowca|ul. Wielkopolska 1; 63-800 Gostyń|65 575-22-94||lbs@smgostyn.com.pl|www.smgostyn.com.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N)|Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 993|2009-01-19|Zakład Badań Środowiskowych|ul. Olszynki Grochowskiej 2B; 04-281 Warszawa|Zakład Badań Środowiskowych|ul. Olszynki Grochowskiej 2B; 04-281 Warszawa|22 612-18-00||badania@badania.org.pl|www.badania.org.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 994|2009-01-30|PROFTECH Spółka Jawna D. Guja, D. Nowiński|ul. Józefa Maronia 44; 41-500 Chorzów|PROFTECH Spółka Jawna D. Guja, D. Nowiński|ul. Józefa Maronia 44; 41-506 Chorzów|32 247-37-24||proftech@op.pl|www.proftech.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyroby inne
AB 996|2009-02-26|Wodociągi Kępińskie Sp. z o.o.|ul. Wrocławska 28; 63-600 Kępno|Laboratorium|ul. Ekologiczna 8; 63-604 Baranów|62 782-24-50||laboratorium@wodociagi.kepno.pl|www.wodociagi.kepno.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 997|2009-02-16|Przedsiębiorstwo Wielobranżowe LABORA S.C. Waldemar Gągoł, Teresa Gągoł, Robert Gągoł|ul. Wesoła 7b; 20-103 Lublin|Laboratorium|ul. Wesoła 7b; 20-103 Lublin|81 747-24-47||biuro@labora.net.pl|www.labora.net.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 998|2009-03-03|WODKAN Przedsiębiorstwo Wodociągów i Kanalizacji S.A.|ul. Partyzancka 27; 63-400 Ostrów Wielkopolski|Dział Laboratorium Badania Wody i Ścieków|Rąbczyn ; 63-440 Raszków|62 738-77-65||laboratorium@wodkan.com.pl|www.wodkan.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 999|2009-02-16|"Przedsiębiorstwo Innowacyjno - Wdrożeniowe Ochrony Środowiska ""EKOTEST"" A.P. Socha"|ul. Konstytucji 3 Maja 59; 34-120 Andrychów|Laboratorium|ul. Kustronia 15/3; 43-316 Bielsko-Biała|33 814-58-16||biuro@ekotest2.pl|www.ekotest2.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1000|2009-02-18|Polskie Sieci Elektroenergetyczne Spółka Akcyjna|ul. Warszawska 165; 05-520 Konstancin-Jeziorna|Polskie Sieci Elektroenergetyczne S.A. Laboratorium Pomiarowo-Badawcze w Radomiu|ul. Żeromskiego 75; 26-600 Radom|48 366-08-45||wschod@pse.pl|www.pse.pl|Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1002|2009-02-13|Badania Środowiska Pracy Usługi BHP - Krzysztof Pala|ul. Radockiego 128/4; 40-645 Katowice|Badania Środowiska Pracy Usługi BHP - Krzysztof Pala|ul. Radockiego 128/4; 40-645 Katowice|32 206-52-70| 602-459-572|k-pala@wp.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1003|2009-02-16|LUX-Badania Środowiska Pracy Zuzanna Jabłońska|ul. Powstańców Śląskich 19/23; 47-120 Zawadzkie|Laboratorium Badawcze|ul. Lubliniecka 7a; 47-120 Zawadzkie|77 463-40-01| 604-873-103|lux-zawadzkie@wp.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1004|2009-03-05|LAB-SERWIS Laboratorium Badań Środowiska S.C.|ul. Brzegowa dz. 63; 42-200 Częstochowa|LAB-SERWIS Laboratorium Badań Środowiska S.C.|ul. Brzegowa dz. 63; 42-200 Częstochowa|34 323-15-23| 601-235-824|biuro@lab-serwis.com.pl|www.lab-serwis.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe
AB 1005|2009-03-02|Wojewódzki Inspektorat Ochrony Środowiska w Opolu|ul. Nysy Łużyckiej 42; 45-035 Opole|Laboratorium|ul. Nysy Łużyckiej 42; 45-035 Opole|77 453-99-06||poczta@opole.pios.gov.pl|www.opole.pios.gov.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1006|2009-03-10|"""Zielonogórskie Wodociągi i Kanalizacja"" Sp. z o.o."|ul. Zjednoczenia 110a; 65-120 Zielona Góra|Laboratorium Badania Wód i Ścieków|ul. Zjednoczenia 110a; 65-120 Zielona Góra|68 454-86-84||poczta@zwik.zgora.pl|www.zwik.zgora.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1007|2009-02-24|Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.|ul. Stara Droga 85; 97-500 Radomsko|Laboratorium Działu Ochrony Środowiska|ul. Spacerowa 120; 97-500 Radomsko|44 683-25-33||laboratorium@pgk-radomsko.pl|www.pgk-radomsko.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1008|2009-03-17|Przedsiębiorstwo Remontowe PAK SERWIS Sp. z o.o.|ul. Przemysłowa 158; 62-510 Konin|Wydział Pomiarów i Diagnostyki|ul. Kazimierska 45; 62-510 Konin|63 247-32-33||wozniak.cezary@pakserwis.com.pl|www.pakserwis.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe
AB 1009|2009-04-06|SLW BIOLAB Weterynaryjne Laboratorium Diagnostyczne S.C.|ul. Grunwaldzka 62; 14-100 Ostróda|SLW BIOLAB Weterynaryjne Laboratorium Diagnostyczne S.C.|ul. Grunwaldzka 62; 14-100 Ostróda|89 646-42-34||biolab@biolab.pl|www.biolab.pl|Badania biologicznie i biochemiczne (B) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby inne :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1010|2009-03-09|Przedsiębiorstwo Geologiczne Sp. z o.o.|ul. Hauke Bosaka 3A; 25-214 Kielce|Laboratorium Badań Środowiskowych|ul. Hauke Bosaka 3A; 25-214 Kielce|41 365-10-60||laboratorium@pgkielce.pl|www.pgkielce.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mechaniczne, badania metalograficzne (J) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1012|2009-03-13|Przedsiębiorstwo Wodociągów i Kanalizacji Spółka z o.o.|ul. Iglasta 5; 27-200 Starachowice|Laboratorium|ul. Boczna 42; 27-200 Starachowice|41 275-23-85||laboratorium@pwik.starachowice.pl|www.pwik.starachowice.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1013|2009-03-13|Pralnicza Spółdzielnia Pracy|ul. Lwowska 3; 33-100 Tarnów|Laboratorium Ochrony Środowiska|ul. Lwowska 3; 33-100 Tarnów|14 621-48-37||pralnia@is.net.pl|www.laboratoriumtarnow.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1016|2009-04-16|Państwowy Instytut Weterynaryjny - Państwowy Instytut Badawczy|Al. Partyzantów 57; 24-100 Puławy|Zakład Wirusologii|Al. Partyzantów 57; 24-100 Puławy|81 889-31-09||jrola@piwet.pulawy.pl|www.piwet.pulawy.pl|Badania biologicznie i biochemiczne (B) :: Badania kliniczne medyczne i weterynaryjne (D)|Obiekty i materiały biologiczne przeznaczone do badań
AB 1017|2009-03-23|"Ośrodek Badania Warunków Pracy ""MODUS"" S.C. Waldemar Uździcki, Bogna Uździcka"|ul. Wiśniowa 19A; 65-517 Zielona Góra|"Ośrodek Badania Warunków Pracy ""MODUS"" S.C. Waldemar Uździcki, Bogna Uździcka"|ul. Wiśniowa 19A; 65-517 Zielona Góra|| 601-896-633|modus@modus.zgora.pl|www.modus.zgora.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1018|2009-03-24|Laboratorium Badań Środowiska Pracy s.c. K.Kosmalska, B.Sawko, G.Kosmalski, P.Sawko|ul. Bałtycka 2; 10-136 Olsztyn|Laboratorium Badań Środowiska Pracy s.c. K.Kosmalska, B.Sawko, G.Kosmalski, P.Sawko|ul. Bałtycka 2; 10-136 Olsztyn|||lab@lbsp.pl|www.lbsp.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Środki ochrony osobistej
AB 1020|2009-03-19|ECHOSON Laboratorium Badań Środowiska Pracy S.C. Anna Koman, Maria Strzelczyk|ul. Beczkowa 17/3; 93-487 Łódź|Laboratorium|ul. Paderewskiego 47; 93-523 Łódź|42 684-22-10||echosonkom@wp.pl|www.echoson.net|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1021|2009-03-26|Laboratorium Badań i Ochrony Środowiska Pracy Leszek Kiec|Niestachów 419; 26-021 Daleszyce|Laboratorium Badań i Ochrony Środowiska Pracy Leszek Kiec|Niestachów 419; 26-021 Daleszyce|41 362-17-02| 602-154-968|leszekkiec@interia.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1022|2009-04-03|Laboratorium Badań Środowiskowych S.C. Iwona Masarczyk, Justyna Przybyła|ul. 16 Lipca 14; 41-506 Chorzów|Laboratorium Badań Środowiskowych S.C. Iwona Masarczyk, Justyna Przybyła|ul. 16 Lipca 14; 41-506 Chorzów|| 501-291-426|laboratoriumsc@op.pl||Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1023|2009-04-20|"Zespół Usług Ekologicznych ""EKO-POMIAR"" Andrzej Kojder"|ul. Olbrachta 182; 35-959 Rzeszów|Laboratorium Badawcze|ul. Olbrachta 182; 35-959 Rzeszów|17 857-88-96| 503-096-499|ekopomiar.biuro@interia.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1024|2009-03-26|Marek Kołodziej SOWIX Agencja Usług BHP i P.Poż.|ul. Żeromskiego 4A; 21-400 Łuków|SOWIX Laboratorium Ochrony Środowiska Pracy|ul. Żeromskiego 4A; 21-400 Łuków|25 798-79-30||info@sowix.pl|www.sowix.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1025|2009-03-25|Instytut Badawczy Dróg i Mostów|ul. Instytutowa 1; 03-302 Warszawa|Zespół Testów Zderzeniowych i Meteorologii Drogowej|ul. Instytutowa 1; 03-302 Warszawa|22 811-29-36||dawid@ibdim.edu.pl|www.ibdim.edu.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Pojazdy
AB 1026|2009-04-03|Zakład Wodociągów i Kanalizacji Sp. z o.o.|ul. Warzywna 3; 95-200 Pabianice|Dział Ochrony Środowiska-Laboratorium|"ul. 15 P.P.""Wilków"" 12; 95-200 Pabianice"|42 227-46-04||akuba@zwik.pabianice.pl||Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1027|2009-04-03|Powiatowa Stacja Sanitarno-Epidemiologiczna w Przeworsku|ul. Rynek 1; 37-200 Przeworsk|Oddział Laboratoryjny|ul. Rynek 1; 37-200 Przeworsk|16 648-75-73||lab.psse.przeworsk@wp.pl|www.psse.przeworsk.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N)|Obiekty i materiały biologiczne przeznaczone do badań :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1028|2009-04-30|OPA-ROW  Sp. z o.o.|ul. Rymera 40 c; 44-270 Rybnik|Laboratorium Badań Środowiskowych|ul. Rymera 40 c; 44-270 Rybnik|32 739-88-35||laboratorium@opa-row.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe
AB 1029|2009-04-21|LAB-VET Sp. z o.o.|ul. Okrężna 8; 62-080 Tarnowo Podgórne|Weterynaryjne Laboratorium Diagnostyczne|ul. Okrężna 8; 62-080 Tarnowo Podgórne|61 816-46-23||lab@lab-vet.com.pl|www.lab-vet.com.pl|Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1030|2009-04-16|EKO-LABOR Laboratorium Ochrony Środowiska i Higieny Pracy Spółdzielnia Pracy|ul. Łąkowa 27; 31-443 Kraków|EKO-LABOR Laboratorium Ochrony Środowiska i Higieny Pracy Spółdzielnia Pracy|ul. Łąkowa 27; 31-443 Kraków|12 412-58-98||biuro@ekolabor.krakow.pl|www.ekolabor.krakow.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1031|2009-04-22|Weterynaryjne Laboratorium Diagnostyczne lek. wet. Maciej Pietraszek|ul. Biskupska 6; 14-200 Iława|Weterynaryjne Laboratorium Diagnostyczne lek. wet. Maciej Pietraszek|ul. Biskupska 6; 14-200 Iława|89 648-35-33||wetlabia@wetlabia.pl|www.wetlabia.pl|Badania mikrobiologiczne (K) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1033|2009-04-30|Wojskowy Ośrodek Medycyny Prewencyjnej w Bydgoszczy|ul. Gdańska 147; 85-915 Bydgoszcz|Zespół Laboratoryjny|ul. Gdańska 147; 85-915 Bydgoszcz|26 141-30-30|||www.wompbydgoszcz.wp.mil.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania inne (M) :: Badania właściwości fizycznych (N)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1034|2009-04-21|Otwockie Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o.|ul. Karczewska 48; 05-400 Otwock|Laboratorium|ul. Kraszewskiego 1; 05-400 Otwock|22 779-33-94||laboratoriumotw@wp.pl|www.opwik.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1035|2009-05-05|BWI POLAND TECHNOLOGIES Sp. z o.o.|ul. Podgórki Tynieckie 2; 30-399 Kraków|Oddział w Krośnie, Laboratorium Badań Środowiska Pracy|ul. Okulickiego 7; 38-400 Krosno|13 437-11-32||||Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
